jenis_usaha,tenaga_kerja_perempuan,tenaga_kerja_laki_laki,tahun_berdiri,status_legalitas,marketplace,kapasitas_produksi,aset,biaya_karyawan,jumlah_pelanggan
4.0,45.0,93.0,2019.0,1.0,2.0,161.0,1604971.0,414000000.0,161.0
4.0,53.0,3.0,2023.0,1.0,4.0,771.0,3820189.0,168000000.0,771.0
5.0,99.0,14.0,2020.0,1.0,0.0,315.0,3574074.0,339000000.0,315.0
4.0,16.0,21.0,2013.0,0.0,4.0,960.0,2586006.0,111000000.0,960.0
4.0,91.0,28.0,2019.0,0.0,4.0,335.0,5182309.0,372000000.0,335.0
2.0,20.0,98.0,2023.0,0.0,1.0,503.0,2149504.0,354000000.0,503.0
1.0,74.0,66.0,2017.0,0.0,4.0,549.0,926514.0,420000000.0,549.0
2.0,14.0,51.0,2013.0,0.0,2.0,178.0,769173.0,195000000.0,178.0
1.0,24.0,43.0,2014.0,0.4,0.0,59.0,2568474.0,201000000.0,59.0
5.0,88.0,26.0,2015.0,1.0,1.0,573.0,2876108.0,342000000.0,573.0
1.0,57.0,92.0,2014.0,1.0,0.0,562.0,2749044.0,447000000.0,569.6
2.0,71.0,40.0,2016.0,1.0,0.0,811.0,2093151.0,333000000.0,811.0
1.0,68.0,85.0,2022.0,0.0,2.2,654.0,4844853.4,459000000.0,654.0
1.0,56.0,57.0,2014.0,1.0,2.0,788.0,3560226.0,423000000.0,788.0
2.0,65.0,67.0,2023.0,0.0,1.0,917.0,2594360.0,396000000.0,917.0
5.0,34.0,47.0,2021.0,1.0,3.0,685.0,4509454.0,243000000.0,685.0
5.0,87.0,73.0,2022.0,1.0,0.0,803.0,4650272.0,480000000.0,803.0
5.0,45.0,65.0,2023.0,0.0,0.0,692.0,1967442.0,330000000.0,692.0
5.0,3.0,17.0,2022.0,1.0,2.0,67.0,4676727.0,60000000.0,67.0
5.0,65.0,30.0,2023.0,1.0,3.0,970.0,2281790.0,285000000.0,970.0
1.0,9.0,59.0,2020.0,0.0,1.0,236.0,1949422.0,204000000.0,236.0
5.0,7.0,51.0,2022.0,0.0,0.0,231.0,1517637.0,174000000.0,231.0
4.0,38.0,19.0,2015.0,1.0,2.0,455.0,5008668.0,171000000.0,455.0
5.0,66.0,45.0,2022.0,1.0,2.0,874.0,2339754.0,333000000.0,874.0
6.0,20.0,80.0,2021.0,1.0,2.0,830.0,4196092.0,300000000.0,498.8
1.0,34.0,68.0,2015.0,1.0,4.0,97.0,2560275.0,306000000.0,97.0
4.0,63.0,93.0,2016.0,0.0,2.0,153.0,721892.0,468000000.0,153.0
5.0,91.0,79.0,2015.0,0.0,2.8,799.0,4366488.0,510000000.0,799.0
1.0,75.0,95.0,2024.0,1.0,0.0,471.0,4824316.0,510000000.0,471.0
1.0,15.0,7.0,2016.0,0.0,2.0,727.0,826314.0,66000000.0,727.0
4.0,41.0,77.0,2012.0,1.0,0.0,565.0,3645532.0,354000000.0,565.0
5.0,5.0,50.0,2014.0,0.0,3.0,906.0,4687070.0,165000000.0,906.0
5.0,82.0,42.0,2023.0,1.0,4.0,275.0,1369123.0,372000000.0,275.0
2.0,74.0,65.0,2014.0,1.0,0.0,380.0,3516208.0,417000000.0,380.0
4.0,60.0,49.0,2018.0,1.0,0.0,123.0,1120885.0,327000000.0,123.0
4.0,77.0,59.0,2019.0,0.0,3.0,502.0,4018142.0,408000000.0,502.0
2.8,98.0,19.0,2018.0,0.0,0.0,181.0,948115.0,351000000.0,181.0
1.0,77.0,2.0,2015.0,0.0,4.0,52.0,2208699.0,237000000.0,52.0
2.0,95.0,43.0,2017.0,1.0,1.0,585.0,1910003.0,414000000.0,585.0
5.0,1.0,49.0,2020.0,0.0,2.0,19.0,4481053.0,150000000.0,19.0
4.0,15.0,44.0,2024.0,1.0,1.0,277.0,4743841.0,177000000.0,277.0
4.2,3.0,93.0,2012.0,1.0,3.0,512.0,2239759.0,288000000.0,512.0
4.0,9.0,84.0,2018.0,0.0,3.0,524.0,1971879.0,279000000.0,524.0
1.0,43.0,93.0,2019.0,0.0,0.0,730.0,4768273.0,408000000.0,730.0
1.0,54.0,95.0,2013.0,0.0,1.0,704.0,2565652.0,447000000.0,704.0
5.0,92.0,84.0,2013.0,1.0,0.0,763.0,3475899.0,528000000.0,763.0
5.0,65.0,4.0,2021.0,0.0,3.0,916.0,4331451.0,207000000.0,916.0
2.0,12.0,63.0,2015.0,1.0,4.0,307.0,1689493.0,225000000.0,307.0
2.0,10.0,11.0,2017.0,1.0,2.0,363.0,2300803.0,63000000.0,422.0
4.0,17.0,89.0,2016.0,0.0,0.0,976.0,2092051.0,318000000.0,976.0
4.0,40.0,95.0,2024.0,1.0,0.0,687.0,1155155.0,405000000.0,687.0
2.0,17.0,14.0,2014.0,1.0,0.0,613.0,4809841.0,93000000.0,613.0
5.0,51.0,3.0,2019.0,1.0,1.0,661.0,3579665.0,162000000.0,661.0
4.0,42.0,70.0,2024.0,0.0,3.0,589.0,3895973.0,336000000.0,589.0
2.0,62.0,35.0,2022.0,0.0,0.0,177.0,2779266.0,291000000.0,177.0
2.0,8.0,36.0,2014.0,1.0,2.0,674.0,1912244.0,132000000.0,674.0
4.0,12.0,52.0,2021.0,0.0,1.0,272.0,1071041.0,192000000.0,272.0
1.0,7.0,81.0,2012.0,0.0,3.0,147.0,1635453.0,264000000.0,147.0
2.0,52.0,79.0,2019.0,1.0,4.0,110.0,3309376.0,393000000.0,110.0
5.0,4.0,4.0,2015.0,1.0,3.0,19.0,1058978.0,24000000.0,19.0
2.0,54.0,92.0,2022.0,1.0,1.0,644.0,4784929.0,438000000.0,644.0
4.0,89.0,45.0,2014.0,0.0,1.0,277.0,2970176.0,402000000.0,592.2
5.0,56.0,73.0,2018.0,1.0,2.0,576.0,3105453.0,387000000.0,576.0
1.0,90.0,99.0,2019.0,0.0,1.0,500.0,1515354.0,567000000.0,500.0
4.0,22.0,66.0,2021.0,1.0,4.0,745.0,4131265.0,264000000.0,745.0
5.0,79.0,65.0,2013.0,0.0,4.0,135.0,5049745.0,432000000.0,135.0
4.0,72.0,90.0,2016.0,0.0,2.0,709.0,4588779.0,486000000.0,709.0
2.0,30.0,2.0,2018.0,1.0,2.0,655.0,985042.0,96000000.0,655.0
2.0,55.0,91.0,2020.0,1.0,2.0,459.0,1326209.0,438000000.0,459.0
5.0,45.0,43.0,2020.0,1.0,0.0,964.0,1753413.2,264000000.0,964.0
1.0,61.0,59.0,2024.0,0.0,0.0,109.0,4243872.0,360000000.0,109.0
5.0,81.0,95.0,2021.0,0.0,4.0,493.0,1921574.0,528000000.0,493.0
4.0,8.0,89.0,2017.0,1.0,0.0,362.0,3999008.0,291000000.0,362.0
5.0,41.0,18.0,2022.0,1.0,4.0,429.0,1651931.0,177000000.0,429.0
2.0,78.0,67.0,2015.0,1.0,4.0,505.0,2635504.0,435000000.0,505.0
2.0,0.0,52.0,2019.0,1.0,4.0,764.0,2065531.0,156000000.0,764.0
5.0,26.0,15.0,2018.0,0.0,1.0,857.0,4173044.0,123000000.0,857.0
4.0,53.0,87.0,2022.0,1.0,4.0,597.0,1396846.0,420000000.0,597.0
4.0,27.0,23.0,2015.0,0.0,4.0,226.0,1360328.0,150000000.0,226.0
1.0,22.0,31.0,2013.0,0.0,4.0,976.0,2963838.0,159000000.0,976.0
2.0,91.0,92.0,2017.0,1.0,1.0,764.0,3877318.0,549000000.0,764.0
4.0,68.0,87.0,2017.0,0.0,1.0,724.0,4783984.0,465000000.0,724.0
5.0,29.0,45.0,2022.0,1.0,2.0,859.0,4533650.0,222000000.0,859.0
4.0,30.0,99.0,2021.0,0.0,0.0,596.0,3870117.0,387000000.0,596.0
4.0,94.0,16.0,2023.0,1.0,2.0,362.0,3251812.0,330000000.0,362.0
2.0,98.0,91.0,2013.0,0.0,0.0,781.0,2667709.0,567000000.0,781.0
5.0,6.0,42.0,2021.0,1.0,2.0,129.0,4554100.0,144000000.0,129.0
4.0,72.0,92.0,2024.0,0.0,3.0,830.0,3994405.4,492000000.0,830.0
4.0,75.0,47.0,2017.0,1.0,0.0,426.0,2803748.0,366000000.0,426.0
5.0,64.0,73.0,2023.0,0.0,2.0,226.0,3646635.0,411000000.0,226.0
1.0,93.0,40.0,2019.0,1.0,1.0,593.0,3130926.0,221400000.0,593.0
2.0,90.0,68.0,2018.0,0.0,3.0,514.0,2128540.0,474000000.0,514.0
2.0,61.0,93.0,2016.0,1.0,3.0,466.0,3911717.0,462000000.0,466.0
4.0,3.0,6.0,2024.0,1.0,1.0,640.0,1744063.0,27000000.0,640.0
2.0,90.0,36.0,2012.0,0.0,2.0,146.0,704614.0,378000000.0,146.0
1.0,77.0,78.0,2020.0,1.0,1.0,732.0,3756493.0,465000000.0,732.0
1.0,19.0,26.0,2023.0,1.0,3.0,521.0,1256764.0,135000000.0,521.0
1.0,40.0,39.0,2018.0,1.0,1.0,363.0,4856990.0,237000000.0,363.0
5.0,76.0,60.0,2021.0,1.0,2.0,455.0,2324187.0,408000000.0,455.0
2.0,55.0,4.0,2018.0,0.0,3.0,38.0,773706.0,177000000.0,38.0
5.0,54.0,69.0,2022.0,0.0,1.0,894.0,2723825.2,369000000.0,894.0
5.0,61.0,3.0,2017.0,0.0,1.0,313.0,4178301.0,192000000.0,313.0
2.0,45.0,47.0,2024.0,0.0,4.0,907.0,4544917.0,276000000.0,907.0
4.0,3.0,3.0,2016.0,1.0,0.0,561.0,3054268.0,18000000.0,561.0
4.0,61.2,27.0,2018.0,0.0,4.0,96.0,3651257.0,126000000.0,96.0
5.0,70.0,77.0,2019.0,1.0,0.0,975.0,736318.0,441000000.0,975.0
1.0,99.0,41.0,2013.0,0.0,4.0,990.0,1865698.0,420000000.0,990.0
1.0,6.0,79.0,2013.0,1.0,4.0,32.0,2721905.0,255000000.0,32.0
1.0,35.0,41.0,2019.0,0.0,2.0,664.0,4376678.0,228000000.0,664.0
4.0,47.0,50.0,2022.0,0.0,2.0,702.0,3636773.0,291000000.0,702.0
4.0,53.0,56.0,2015.0,0.0,3.0,849.0,5143590.0,327000000.0,849.0
4.0,69.0,84.0,2017.0,0.0,4.0,20.0,4332838.0,459000000.0,20.0
4.0,75.0,9.0,2019.0,0.0,0.0,536.0,756603.0,252000000.0,536.0
1.0,18.0,66.0,2016.0,1.0,1.0,211.0,4523304.0,252000000.0,211.0
2.0,5.0,45.0,2024.0,1.0,3.0,10.0,5274957.0,150000000.0,10.0
2.0,47.0,40.0,2021.0,0.0,1.0,390.0,2590202.0,261000000.0,390.0
5.0,0.0,62.0,2017.0,0.0,1.0,987.0,2919976.0,186000000.0,987.0
2.0,62.0,82.0,2018.0,1.0,2.0,454.0,3646176.0,432000000.0,454.0
1.0,53.6,88.0,2022.0,1.0,1.0,452.0,4375285.0,357000000.0,452.0
5.0,76.0,29.0,2021.0,0.0,1.0,185.0,4853559.0,315000000.0,185.0
5.0,65.0,70.0,2013.0,0.0,1.0,743.0,4448661.0,405000000.0,743.0
5.0,96.0,33.0,2014.0,0.0,1.0,910.0,4760117.0,387000000.0,910.0
4.0,30.0,48.0,2019.0,1.0,1.0,764.0,1838347.0,234000000.0,764.0
4.0,37.0,34.0,2013.0,1.0,4.0,66.0,3503517.0,213000000.0,66.0
1.0,18.0,87.0,2013.0,0.0,0.0,298.0,1960259.0,315000000.0,298.0
5.0,60.0,17.0,2013.0,0.0,4.0,726.0,4165722.0,231000000.0,726.0
5.0,46.0,77.0,2022.0,1.0,1.0,534.0,5181545.0,369000000.0,534.0
5.0,58.0,51.0,2013.0,0.0,1.0,356.0,3707207.0,327000000.0,356.0
2.0,95.0,88.0,2014.0,1.0,4.0,932.0,3270593.0,304800000.0,932.0
1.0,92.0,64.0,2020.0,1.0,4.0,466.0,2882612.0,468000000.0,466.0
4.0,2.0,21.0,2023.0,0.0,0.0,96.0,4990721.0,69000000.0,96.0
1.0,55.0,16.0,2013.0,0.0,1.0,920.0,3177123.0,213000000.0,920.0
2.0,70.0,11.0,2023.0,0.0,1.0,530.0,4783042.0,243000000.0,530.0
4.0,1.0,11.0,2024.0,1.0,3.0,344.0,1220154.0,36000000.0,344.0
4.0,97.0,53.0,2016.0,1.0,2.0,785.0,3275121.0,450000000.0,785.0
1.0,80.0,87.0,2015.0,0.0,4.0,243.0,5266471.0,501000000.0,243.0
2.2,45.0,53.0,2020.0,0.0,0.0,40.0,4215154.0,294000000.0,40.0
5.0,72.0,62.0,2021.0,0.0,3.0,742.0,2309990.0,402000000.0,742.0
2.0,86.0,91.0,2024.0,0.0,0.0,98.0,4937070.0,531000000.0,98.0
4.0,44.0,46.0,2020.0,0.0,0.0,646.0,623565.0,270000000.0,646.0
4.0,54.0,70.0,2017.0,0.0,3.0,629.0,4403928.0,372000000.0,629.0
1.0,69.0,93.0,2018.0,0.0,0.0,380.0,3595580.0,486000000.0,380.0
4.0,3.0,53.0,2016.0,1.0,3.0,568.0,4913447.0,168000000.0,568.0
4.0,41.0,29.0,2023.0,0.0,3.0,305.0,4998285.0,210000000.0,305.0
2.0,95.0,77.0,2022.0,0.0,4.0,584.0,1526177.0,516000000.0,584.0
2.0,86.0,52.0,2023.0,0.0,1.0,315.0,5107093.0,414000000.0,315.0
4.0,32.0,23.0,2023.0,1.0,1.0,776.0,3948487.0,165000000.0,776.0
1.0,0.0,81.0,2020.0,1.0,2.0,273.0,4330195.0,243000000.0,273.0
2.0,1.0,28.0,2020.0,0.0,3.0,241.0,998319.0,87000000.0,241.0
2.0,75.0,1.0,2024.0,0.0,0.0,490.0,1488817.0,228000000.0,490.0
5.0,35.0,60.0,2020.0,1.0,0.0,768.0,3582848.0,285000000.0,768.0
5.0,28.0,12.0,2015.0,1.0,0.0,801.0,4145634.0,120000000.0,801.0
5.0,6.0,56.0,2019.0,1.0,0.0,18.0,1719929.0,186000000.0,18.0
5.0,74.0,1.0,2012.0,1.0,0.0,59.0,2530841.0,225000000.0,59.0
2.0,8.0,2.0,2016.0,0.0,0.0,66.0,2270603.0,30000000.0,66.0
2.0,33.0,35.0,2013.0,1.0,2.0,109.0,5245498.0,204000000.0,109.0
1.0,65.0,60.0,2022.0,0.0,2.0,713.0,720901.0,375000000.0,713.0
