jenis_usaha,tenaga_kerja_perempuan,tenaga_kerja_laki_laki,tahun_berdiri,status_legalitas,marketplace,kapasitas_produksi,aset,biaya_karyawan,jumlah_pelanggan
5.0,4.0,28.0,2016.0,0.0,4.0,814.0,9888532.0,96000000.0,814.0
1.0,32.0,71.0,2023.0,1.0,1.0,763.0,7264986.0,309000000.0,763.0
5.0,3.0,81.0,2012.0,1.0,0.0,101.0,8469329.0,252000000.0,101.0
4.0,39.0,31.0,2018.0,1.0,1.0,865.0,9533256.0,210000000.0,865.0
1.0,62.0,34.0,2022.0,0.0,2.0,252.0,9829671.0,302400000.0,252.0
4.0,96.0,56.0,2021.0,1.0,1.0,468.0,6118329.0,456000000.0,468.0
4.0,34.0,4.0,2015.0,1.0,1.0,227.0,8291998.0,114000000.0,227.0
1.0,72.0,37.0,2023.0,0.0,1.0,128.0,8727343.0,327000000.0,128.0
2.0,47.0,97.0,2024.0,1.0,3.0,728.0,5404770.0,432000000.0,728.0
4.0,86.0,76.0,2024.0,1.0,0.0,175.0,9149327.0,486000000.0,175.0
4.0,38.0,53.0,2015.0,1.0,1.0,822.0,5930550.0,273000000.0,822.0
2.0,22.0,37.0,2014.0,1.0,1.0,140.0,5463626.0,177000000.0,140.0
1.0,18.0,34.0,2017.0,0.0,3.0,767.0,6805670.0,156000000.0,767.0
4.0,27.0,32.0,2018.0,1.0,1.0,706.0,7496957.0,177000000.0,706.0
5.0,90.0,58.0,2012.0,0.0,4.0,293.0,5434564.0,444000000.0,293.0
4.0,18.0,93.0,2018.0,0.0,1.0,175.0,8510880.0,198600000.0,175.0
4.0,14.0,27.0,2014.0,1.0,1.0,803.0,8909777.0,123000000.0,803.0
2.0,31.0,90.0,2022.0,0.0,3.0,596.0,9345476.0,363000000.0,596.0
1.0,27.0,1.0,2022.0,0.0,4.0,745.0,6495069.0,84000000.0,745.0
1.0,36.0,85.0,2013.0,1.0,0.0,765.0,9003585.0,363000000.0,765.0
2.0,1.0,9.0,2016.0,1.0,0.0,975.0,6661739.0,30000000.0,975.0
4.0,34.0,13.0,2023.0,1.0,0.0,448.0,7719188.0,141000000.0,448.0
4.0,12.0,13.0,2022.0,0.0,3.0,405.0,7804314.0,75000000.0,405.0
5.0,47.0,11.0,2015.0,1.0,2.0,615.0,6865284.0,174000000.0,615.0
1.0,83.0,27.0,2021.0,1.0,3.0,398.0,6079044.0,330000000.0,398.0
1.0,3.0,50.0,2017.0,0.0,4.0,680.0,8729409.0,159000000.0,680.0
1.0,74.0,74.0,2024.0,1.0,4.0,293.0,5418643.0,444000000.0,293.0
1.0,43.0,48.0,2023.0,0.2,1.0,745.0,8982108.0,273000000.0,745.0
1.0,79.0,74.0,2016.0,1.0,1.0,409.0,8303370.0,459000000.0,409.0
1.0,32.0,68.0,2013.0,0.0,2.0,128.0,6313440.0,300000000.0,128.0
5.0,83.0,5.0,2018.0,0.0,1.0,557.0,9969382.0,264000000.0,557.0
5.0,88.0,86.0,2017.0,0.0,2.0,542.0,8194415.0,522000000.0,542.0
2.0,22.0,95.0,2019.0,1.0,3.0,743.0,7596930.0,351000000.0,743.0
5.0,28.0,62.0,2021.0,1.0,3.0,675.0,7797417.0,270000000.0,675.0
1.0,58.0,2.0,2014.0,0.0,4.0,822.0,8085588.0,180000000.0,822.0
4.0,94.0,57.0,2014.0,1.0,1.0,814.0,6216996.0,453000000.0,814.0
4.0,45.0,50.0,2022.0,0.0,4.0,772.0,5270149.0,285000000.0,772.0
2.0,42.0,4.0,2017.2,1.0,4.0,404.0,7197573.0,138000000.0,404.0
2.0,49.2,91.0,2013.0,1.0,2.0,877.0,8038082.0,453000000.0,877.0
5.0,82.0,19.0,2015.0,0.0,1.0,402.0,6846689.0,303000000.0,402.0
2.0,94.0,4.0,2024.0,1.0,2.0,584.0,8192042.0,294000000.0,584.0
4.0,3.0,77.0,2023.0,1.0,0.0,110.0,6735557.0,240000000.0,110.0
5.0,29.0,58.0,2015.0,1.0,2.0,513.0,7994041.0,261000000.0,513.0
2.0,27.0,0.0,2023.0,0.0,2.0,816.0,7544949.0,81000000.0,816.0
6.0,42.0,0.0,2022.0,1.0,0.0,716.0,8571750.0,126000000.0,605.4
2.0,8.0,98.0,2023.0,1.0,4.0,958.0,6920930.0,318000000.0,598.0
1.0,66.0,36.0,2018.0,0.0,3.0,438.0,9118722.0,306000000.0,438.0
4.0,1.0,14.0,2021.0,1.0,1.0,895.0,5331506.0,45000000.0,895.0
5.0,4.0,97.0,2021.0,1.0,2.0,928.0,9263581.0,303000000.0,928.0
2.0,64.0,62.0,2024.0,0.0,1.0,232.0,6110896.0,378000000.0,232.0
5.0,87.0,83.0,2014.0,1.0,1.0,125.0,6432131.0,510000000.0,125.0
2.0,56.0,5.0,2023.0,1.0,2.0,190.0,8262795.0,183000000.0,190.0
1.0,47.0,27.0,2018.0,1.0,3.0,148.0,7141809.0,222000000.0,148.0
2.0,84.0,99.0,2020.0,1.0,1.0,997.0,8666046.0,549000000.0,997.0
1.0,10.0,79.0,2022.0,1.0,0.0,706.0,8111654.0,267000000.0,706.0
5.0,26.0,85.0,2015.0,0.0,0.0,995.0,7786102.6,333000000.0,995.0
4.0,35.0,52.0,2021.0,1.0,2.2,77.0,7981068.0,261000000.0,77.0
4.0,23.0,76.0,2021.0,0.0,0.0,679.0,7600279.0,297000000.0,679.0
4.0,12.0,15.0,2017.0,1.0,0.0,424.0,9525451.0,81000000.0,424.0
5.0,74.0,15.0,2014.0,0.0,0.0,831.0,5257679.0,267000000.0,831.0
2.0,99.0,44.0,2014.0,0.0,4.0,438.0,6692048.0,429000000.0,438.0
1.0,96.0,70.0,2015.0,1.0,0.0,337.0,6811434.0,498000000.0,337.0
2.0,25.0,66.0,2023.0,1.0,4.0,375.0,5462480.0,273000000.0,375.0
5.0,76.0,87.0,2021.0,0.0,1.0,396.0,8418767.0,489000000.0,396.0
1.0,72.0,64.0,2014.0,1.0,4.0,952.0,6192870.0,408000000.0,952.0
5.0,20.0,47.0,2020.0,1.0,2.0,89.0,8020431.0,201000000.0,89.0
1.0,85.0,27.0,2012.0,1.0,3.0,319.0,7494056.0,336000000.0,319.0
4.0,38.0,95.0,2021.0,1.0,0.0,948.0,5873005.0,399000000.0,948.0
6.0,98.0,70.0,2018.0,1.0,2.0,341.0,6216734.6,504000000.0,341.0
5.0,52.0,28.0,2013.0,1.0,4.0,350.0,6095806.0,240000000.0,350.0
4.0,84.0,59.0,2023.0,1.0,2.0,905.0,5987341.0,429000000.0,905.0
5.0,16.0,21.0,2012.0,0.0,0.0,235.0,8714264.0,111000000.0,235.0
1.0,89.0,34.0,2021.0,0.0,1.0,361.8,9513340.0,369000000.0,318.0
2.0,15.0,53.0,2017.0,1.0,2.0,196.0,9786870.0,204000000.0,196.0
2.0,87.0,68.0,2013.0,1.0,3.0,157.0,7429019.0,465000000.0,157.0
1.0,53.0,68.0,2016.0,0.0,0.0,777.0,6861965.0,363000000.0,777.0
5.0,50.0,20.0,2014.0,0.0,4.0,850.0,6329799.0,210000000.0,850.0
5.0,8.0,68.0,2012.0,1.0,1.0,418.0,5995579.0,228000000.0,418.0
