jenis_usaha,tenaga_kerja_perempuan,tenaga_kerja_laki_laki,tahun_berdiri,status_legalitas,marketplace,kapasitas_produksi,aset,biaya_karyawan,jumlah_pelanggan
5.0,26.0,62.0,2001.0,0.0,3.0,956.0,7081703.0,264000000.0,956.0
1.0,32.0,49.0,2009.0,1.0,0.0,682.0,9943111.0,243000000.0,682.0
1.0,20.0,28.0,2000.0,0.0,3.0,112.0,5764424.0,144000000.0,112.0
1.0,99.0,83.0,2004.0,1.0,0.0,288.0,7830793.0,546000000.0,288.0
2.0,98.0,98.0,2002.0,0.0,3.0,789.0,5293762.0,588000000.0,789.0
2.0,56.0,23.0,2010.0,1.0,1.0,805.0,5665404.0,237000000.0,805.0
6.0,95.0,23.0,2010.0,1.0,3.0,752.0,8733537.0,354000000.0,752.0
2.0,62.0,47.0,2007.0,0.0,0.0,683.0,6896146.0,327000000.0,683.0
4.0,37.0,79.0,2004.0,1.0,2.0,758.0,6049555.0,348000000.0,758.0
5.0,55.0,84.0,2005.0,0.0,2.0,726.0,5406962.0,417000000.0,726.0
2.0,72.0,13.0,2011.0,1.0,4.0,523.0,9307005.0,255000000.0,523.0
2.0,6.0,21.0,2001.0,1.0,1.0,638.0,6964338.0,81000000.0,638.0
4.0,9.0,45.0,2006.0,1.0,3.0,529.0,6411527.0,162000000.0,529.0
2.0,16.0,61.0,2002.0,0.0,4.0,927.0,6584807.0,231000000.0,927.0
4.0,0.0,71.0,2005.0,0.0,2.0,65.0,9012737.0,213000000.0,65.0
5.0,68.0,3.0,2006.0,0.0,0.0,828.0,7104415.0,213000000.0,828.0
1.0,38.0,66.0,2004.0,0.0,4.0,994.0,7050081.0,312000000.0,994.0
4.0,9.0,50.0,2007.0,1.0,1.0,878.0,8810860.0,177000000.0,878.0
4.0,38.0,6.0,2002.0,0.0,4.0,244.0,8359051.0,132000000.0,244.0
5.0,61.0,77.0,2007.0,1.0,1.0,802.0,8228167.0,414000000.0,802.0
2.0,21.0,29.0,2004.0,1.0,4.0,548.0,8435317.0,150000000.0,548.0
5.0,9.0,28.6,2004.0,1.0,1.0,633.0,7778248.0,93000000.0,633.0
5.0,91.0,53.0,2006.0,0.0,1.0,924.0,5473466.0,432000000.0,924.0
2.0,28.0,93.0,2012.0,0.0,1.0,919.0,8040335.0,363000000.0,919.0
4.0,7.0,38.0,2008.0,0.0,4.0,910.0,9698039.0,135000000.0,910.0
2.0,73.0,25.0,2011.0,1.0,0.0,429.0,9503843.0,294000000.0,429.0
2.0,73.0,15.0,2001.0,0.0,3.0,794.0,6722647.0,264000000.0,794.0
5.0,89.0,59.0,2006.0,0.0,0.0,172.0,9202257.0,444000000.0,172.0
2.0,40.0,63.0,2001.0,0.0,2.0,668.0,9151730.0,309000000.0,668.0
4.0,98.0,35.0,2004.0,0.0,0.0,894.0,6686141.0,399000000.0,894.0
5.0,16.0,5.0,2007.0,0.0,2.2,610.0,8319729.0,63000000.0,610.0
4.0,51.0,19.0,2001.0,1.0,4.0,669.0,8423171.0,210000000.0,669.0
1.0,39.0,22.0,2001.0,1.0,1.0,616.0,5645617.0,183000000.0,616.0
4.0,37.0,43.0,2007.0,0.0,0.0,727.0,8523553.0,240000000.0,727.0
4.0,22.0,14.0,2001.0,0.0,4.0,542.0,9436328.0,108000000.0,542.0
