nama_usaha,laba,jenis_usaha,tenaga_kerja_perempuan,tenaga_kerja_laki_laki,tahun_berdiri,status_legalitas,marketplace,kapasitas_produksi,aset,omset,biaya_karyawan,jumlah_pelanggan
UD. Alif Pamungkas,-2149355.0,2.0,-1.6841837678782858,0.2371751836966508,0.41111219558806655,0.0,3.0,-0.07314664967592545,0.10041873038174218,-1.5646124836096844,-1.0243892909940542,-0.07341173833873772
UD. Zidanar Panji,32571277.0,5.0,-1.5458735578573854,-0.17761597627077613,0.272922194920046,1.0,0.0,-0.12590767094304708,0.7964297232856413,1.0154999282187853,-1.2204650615300643,-0.12620376218931043
UD. Winda Jayengprana,16371593.0,2.4,0.8399775650031476,0.06434553371022292,-1.6617378144322414,0.0,4.0,-0.4108171857855039,1.3394701126282529,-0.021304770101641064,0.6422547585620317,-0.41128069098240294
UD. Damaris Satria,11124211.0,1.0,1.3586408525815243,-1.5256872461649136,-1.2471678124281798,0.0,4.0,1.710175869152786,1.5936844362906903,-0.342073891108853,-0.11753885226500743,1.7109586678106192
UD. Qasya Wiratama,-4636043.0,1.0,1.4277959575919745,0.34087297368850755,-1.3853578130962003,0.0,1.0,-0.6535178836142634,1.5500015082316878,-1.4608344084934723,1.2549915414870634,-0.6541240006950374
UD. Grego Wiraatmaja Nara,10225197.0,1.0,0.9091326700135979,-0.45414341624906074,-1.6617378144322414,0.0,0.0,0.5670204083651504,1.4091566924441135,-0.440924287294318,0.3236316314410153,0.5671314843815443
UD. Mika Bagaskara,-3433417.0,5.0,-0.4393918776901817,0.13347739370479408,-1.2471678124281798,1.0,1.0,0.7534426835089802,1.0652412652462113,-1.4693981555027384,-0.21557673753301249,-0.2669824924575043
UD. Yora Selaras,9637378.0,2.0,0.8745551175083727,-1.5948191061594847,-0.4180278084200566,0.0,3.0,-0.13997727661427953,0.6769590657855419,-0.6232491827125587,-0.5096903933370276,-0.1402816352161298
UD. Wenny Langit,39104489.0,1.0,1.1165979850449486,1.1358893636260758,-1.6617378144322414,0.0,2.0,-1.3358937586690367,-0.9067765192626751,1.1339018027493837,1.598124139925081,-1.3369008424957776
UD. Fani Wijaya,34415640.0,1.0,-1.1309429277946839,-0.10848411627620497,-0.8325978104241182,0.0,4.0,1.3056747061048533,1.0667363507537995,1.1974609350180463,-0.8773324630920466,1.306219818289562
UD. Karim Asmaralaya,-2951035.0,5.0,-1.0963653752894589,1.205021223620647,0.272922194920046,1.0,0.0,0.8308255147007586,0.9663496324090808,-1.4544446934308628,0.07853691827100268,0.8310916036344078
UD. Jafar Gandewa,34836432.0,4.0,-0.7851674027424328,-0.45414341624906074,-0.5562178090880772,0.0,3.0,0.2821108935226936,1.4215636324386465,1.2953934019069597,-0.8773324630920466,0.28205455558845177
UD. Elyas Wiraatmaja,17065158.0,5.0,-1.3384082428260347,1.1013234336287903,0.41111219558806655,0.0,0.0,0.327837111954199,-0.24356332403515635,-0.27709592435424457,-0.16655779489900996,0.32780764292561476
UD. Erlangga Wiyata,9740643.0,2.0,1.566106167612875,-0.2813137662626329,-1.1089778117601592,0.0,4.0,-1.666529491942999,-1.1939475208929458,-0.9760297933671356,0.9118589430490456,-1.667730858626033
UD. Hasna Saputranegara,12644475.0,2.0,0.044693857382969944,-0.0739181862789194,0.9638721982601486,0.0,2.0,-1.25499352605945,-1.6900263372681414,-0.8669171040514008,-0.01950096699700238,-1.255953072591566
UD. Halim Surya,13309023.0,3.6,0.9091326700135979,1.7235101735799307,-1.6617378144322414,0.0,3.0,0.2856282949405017,0.20490302269473598,-0.4554187494915267,1.8677283244120948,0.2855740238451566
UD. Farhan Mulyo,34510730.0,4.0,1.254908195065849,0.37543890368579313,-0.4180278084200566,0.0,4.0,-0.6288960736896066,0.9758110635901821,1.1866617212362283,1.1569536562190583,-0.6294877228981034
UD. Farhan Sukadarma,42613809.0,5.0,1.7044163776337755,0.4100048336830787,0.549302196256087,0.0,3.0,0.5670204083651504,-1.457089159733651,1.2893346035613586,1.500086254657076,0.5671314843815443
UD. Qisha Saprahan,40437845.0,5.0,0.2521591724143206,0.16804332370207964,1.3784422002642103,0.0,0.0,0.14844963964598543,1.3224307504953698,1.6709504106400503,0.29912216012401405,0.1483147618336676
UD. Tasya Tunggul,29620364.0,2.0,1.4969510626024247,-0.01861269828326242,1.6548222016002512,1.0,4.0,1.2388440791664992,1.2412088757862416,0.893197632681084,0.7402926438300368,1.23934992141217
UD. Yudi Kamajaya,7599645.0,4.0,-0.9926327177737835,-1.2145938761893436,0.8256821975921281,1.0,4.0,-1.0439494409909635,0.5718169212058644,-0.7870477441258502,-1.5635976599680819,-1.0447849771892752
UD. Putri Wiraatmaja Rafif,27949766.0,5.0,-0.19734901015360587,0.30630704369122197,0.549302196256087,1.0,4.0,1.421748952892521,-0.15782361136100698,0.5084936969905246,0.07853691827100268,1.422362270760822
